status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10158196947521509,Not invited to the royal wedding? Here's how you can celebrate like Prince Harry and Meghan Markle.,9 ways you can party in style for the royal wedding,link,https://cnn.it/2pOMqT8,https://www.facebook.com/cnn/posts/10158196947521509,2018-03-31 07:00:27,989,171,81,910,31,5,37,1,5
5550296508_10158196876336509,"Researchers are raising the idea of calling the fluid-filled spaces within and between tissues all over your body an ""organ.""",Newfound 'organ' could be the biggest in your body,link,https://cnn.it/2GgQGWC,https://www.facebook.com/cnn/posts/10158196876336509,2018-03-31 06:30:05,1061,70,452,929,29,101,2,0,0
5550296508_10158196835116509,This is how you can download a copy of your Facebook data,Here's some important information about your Facebook data,link,https://cnn.it/2GfzPDu,https://www.facebook.com/cnn/posts/10158196835116509,2018-03-31 06:00:21,837,48,654,784,1,33,15,3,1
5550296508_10158196791461509,"Imagine if, instead of a warm summer, we were faced with a sudden, dramatic cold front that lasted the next 100 years","11,000 years ago, our ancestors survived abrupt climate change",link,https://cnn.it/2J0qZqS,https://www.facebook.com/cnn/posts/10158196791461509,2018-03-31 05:30:09,950,171,163,774,22,120,18,14,2
5550296508_10158196741031509,The idea is President Donald J. Trump's latest attempt to find a way to build the border wall he promised supporters during his campaign as Mexico has dismissed his call for Mexico to fund its construction.,Trump suggests US military foot the bill for border wall,link,https://cnn.it/2J7ibzJ,https://www.facebook.com/cnn/posts/10158196741031509,2018-03-31 05:00:21,4943,1199,1075,1464,61,153,1276,47,1942
5550296508_10158194899646509,Steve Jobs warned about privacy issues in 2010. Mark Zuckerberg was in the audience https://cnnmon.ie/2DZ0Y7J,CNNMoney,video,https://www.facebook.com/cnnmoney/videos/10155526283363067/,https://www.facebook.com/cnn/posts/10158194899646509,2018-03-31 05:00:00,1367,83,315,1213,55,60,21,7,11
5550296508_10158196689756509,"According to a report by Dictionary.com, when President Donald J. Trump's account has tweeted misspelled words, it corresponds with a spike in searches of the same words spelled incorrectly on the website",Presidential misspellings create spike in dictionary searches,link,https://cnn.it/2GyNDZ4,https://www.facebook.com/cnn/posts/10158196689756509,2018-03-31 04:30:08,1240,307,140,557,7,17,619,34,6
5550296508_10158194737881509,"I-Squared Act promises to strengthen the US job market, enable the Trump Administration's ""Buy American, Hire American"" policy and address concerns regarding visa abuse, writes Richard Burke for CNN Opinion",CNNMoney,link,https://cnnmon.ie/2GbVuw8,https://www.facebook.com/cnn/posts/10158194737881509,2018-03-31 03:00:00,570,124,126,485,10,27,37,1,10
5550296508_10158196505446509,Meet Pakistan's first transgender news anchor https://cnn.it/2GyGFn3,Meet Pakistan's first transgender news anchor,video,https://www.facebook.com/cnn/videos/10158196505446509/,https://www.facebook.com/cnn/videos/10158196505446509/,2018-03-31 02:29:53,2492,514,269,1880,329,76,159,10,38
5550296508_10158196465221509,"Only three of the 150 doctors, dietitians and personal trainers we surveyed knew the right answer",Where does fat go when you lose weight?,link,https://cnn.it/2pPW9bJ,https://www.facebook.com/cnn/posts/10158196465221509,2018-03-31 02:00:06,3213,311,1697,2700,32,381,87,8,5
5550296508_10158196407096509,"After spending 23 years in prison for a crime he did not commit, Nevest Coleman is back at work as a groundskeeper with the Chicago White Sox https://cnn.it/2GfVATI",Wrongfully convicted man gets job back with the White Sox after 23 years in prison,video,https://www.facebook.com/cnn/videos/10158196407096509/,https://www.facebook.com/cnn/videos/10158196407096509/,2018-03-31 01:31:00,4664,229,525,3481,607,106,1,450,19
